Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=720c6c9ae19deb1361b141023cd240ca&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=BP6&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn62&legendRef=reference
,BP6.M.N.I8.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.CKA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.F.F7.T.EUR._T.T.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N,BP6.M.N.I8.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N
2020Apr,11273,9274,11210,9734,-12667,-1999,2997,-39830,-34009,10904,-168045,158892,-30556,1702
2020Mar,25083,24900,38239,3734,-11798,-183,-5092,-20193,-7526,-1848,126935,-116404,4707,3550
2020Feb,15155,15754,29044,7063,-15594,599,-5358,2946,26238,6827,13925,-27181,18700,-1108
2020Jan,-8191,-8552,9346,6933,-19970,-361,-4500,-746,8076,7304,19312,-44974,-9299,983
2019Dec,33443,33495,31059,11654,-8474,52,-797,-31498,-66001,-11982,12987,66535,1997,458
2019Nov,23454,22101,29955,6889,-9970,-1354,-3419,-48,-54009,346,37313,42274,22053,-3870
2019Oct,28919,27607,36559,4647,-12461,-1312,174,11373,20355,6382,-23895,35243,38980,894
2019Sep,38352,36703,28258,2109,-12066,-1649,20052,3083,9321,-5561,55201,-13235,39786,-5939
2019Aug,32290,30826,22786,8549,-12293,-1464,13248,-5919,38111,-5344,-2591,-5898,24907,629
2019Jul,32210,31566,34396,1634,-13648,-644,9828,-2567,-16204,8832,54628,-23706,28999,5449
2019Jun,11164,6179,26624,-3394,-11961,-4985,-105,2497,-67830,4975,46933,26867,8676,-2269
2019May,-1806,-6670,27139,-20719,-6447,-4863,-1779,5516,-27382,3715,69514,-48846,-1154,1845
2019Apr,10425,4728,24208,-141,-10793,-5696,-2849,-24214,6784,8035,7365,-44907,-19485,3237
2019Mar,37398,34323,31648,10097,-14026,-3074,9678,26014,22375,-1357,63522,-29275,60337,5073
2019Feb,18436,17845,25307,9184,-23402,-591,7346,-17923,46840,-10197,-24,-36982,-77,285
2019Jan,9674,9006,8628,10780,-16177,-667,6443,-165,15627,-646,11401,-14980,8842,-2561
2018Dec,31918,18404,21821,19820,-16228,-13513,6506,-910,-65594,-4921,805,84081,17495,3123
2018Nov,20149,3381,24515,8860,-13880,-16768,654,1088,-68957,11775,40948,17245,4468,3458
2018Oct,25107,8395,21722,13254,-13201,-16712,3332,-26401,56718,6857,-33176,-47660,-18006,-745
2018Sep,31385,31369,21278,8198,-12156,-17,14064,40717,7073,3618,74656,-15577,72085,2315
2018Aug,32926,34181,19590,11577,-10435,1255,12194,8537,-12028,10331,-38533,79671,42719,3278
2018Jul,34159,35048,26229,6849,-12559,889,13641,-29648,3474,9790,-23234,19656,5400,-4286
2018Jun,31952,33156,30075,-1685,-11324,1204,14886,13805,46071,2404,31023,-40398,46961,7861
2018May,10658,10930,24956,-19031,-6565,272,11298,-988,-1603,8312,-48962,49838,9943,2359
2018Apr,33135,33238,23985,9136,-10700,104,10714,-26228,23632,7544,-33288,12775,7011,-3652
2018Mar,49825,51094,36441,18063,-15089,1269,10409,17243,73593,-3954,31457,-41951,68337,9192
2018Feb,21610,22179,23030,7534,-17072,569,8118,9466,10959,-4803,-52667,78209,31645,-54
2018Jan,10227,14128,11233,4405,-12658,3901,7246,-2344,65491,-6721,-56416,7200,11784,2231
2017Dec,50079,49631,33019,13452,-9227,-448,12835,37655,28945,2184,41846,15913,87286,-1602
2017Nov,40541,41028,34776,9300,-10098,487,6563,-29864,-18549,1221,21103,1218,11165,6171
2017Oct,39008,39657,29357,10471,-11058,649,10238,-31170,7944,259,-44836,47831,8487,-2709
2017Sep,47225,45738,34497,8818,-10734,-1487,14644,-20435,21847,402,-12037,8710,25303,6382
2017Aug,35094,33986,24870,8007,-9458,-1108,11674,-10424,-27135,-4903,-8566,64786,23562,-620
2017Jul,38077,37623,31937,4459,-11854,-454,13535,20865,7894,-1715,10251,47243,58488,-5185
2017Jun,23019,20174,33722,-1172,-11154,-2845,1622,-5099,-69283,-10176,59607,33398,15075,1529
2017May,-770,-4545,28745,-19563,-8102,-3775,-1851,26083,62600,-201,-39846,-2153,21538,1138
2017Apr,7013,2754,24851,19,-16136,-4258,-1722,8486,24841,2800,-31697,19347,11240,-4051
2017Mar,46323,43206,36875,10240,-11417,-3117,10625,-31211,-15558,9844,7108,9863,11995,738
2017Feb,25750,24400,24945,6488,-13084,-1350,7400,33335,23716,14896,-84451,101537,57735,2037
2017Jan,-2731,-5178,7316,3176,-15396,-2448,2173,23430,888,8255,985,13230,18252,-5105
2016Dec,42645,45357,33090,18410,-10069,2712,1214,15756,-24831,342,10258,69254,61113,6090
2016Nov,31139,31048,33047,12719,-13071,-91,-1556,-9226,15771,-640,36780,-32539,21822,2450
2016Oct,27403,26943,26397,10593,-11922,-459,2335,-28248,6842,8858,-70243,57187,-1305,-3948
2016Sep,35779,35882,32427,8492,-12613,103,7473,-8487,6632,5146,-20458,29285,27395,6788
2016Aug,22927,23474,23756,6911,-12567,547,4826,11104,2367,6792,-45197,68825,34579,1791
2016Jul,34765,34697,34363,3902,-11099,-68,7599,2187,57217,9344,-82594,53748,36884,-830
2016Jun,31094,31141,36832,-6473,-6697,47,7432,-20965,14004,-8826,10346,-6025,10176,677
2016May,14768,14871,30051,-13593,-7425,103,5735,-3772,26864,-16985,12326,-14212,11099,3105
2016Apr,33545,33341,35005,3160,-7760,-204,3140,1174,-31950,-22877,-31180,122141,34515,-1620
2016Mar,36105,35268,36609,9256,-13963,-837,4203,14163,37520,3479,11152,-3834,49431,1115
2016Feb,12965,13151,27183,6923,-22961,186,1821,-6451,56165,15247,-107590,41875,6701,1003
2016Jan,6536,6029,13746,1596,-10041,-507,1235,-19399,-58454,12227,-70236,104260,-13370,-1168
2015Dec,45661,47838,31473,19357,-9683,2177,4514,-12230,63877,18653,-52859,-2166,35607,8103
2015Nov,27140,31365,32139,4363,-11573,4225,2210,25393,3926,23651,-9286,36078,56758,2390
2015Oct,26649,31104,33600,1803,-10204,4455,1450,12066,-18026,16081,28839,22155,43169,-5878
2015Sep,32308,33745,28942,2075,-7770,1437,9062,-29839,-7522,-3308,1881,4676,3907,8180
2015Aug,18508,20263,19201,42,-7306,1756,6570,-2599,15428,-2338,-22726,25936,17664,1364
2015Jul,41758,44084,39589,409,-8754,2326,10514,20078,11791,12695,-50849,97301,64162,-6775
2015Jun,8225,7403,33617,-506,-8016,-821,-16870,-25761,-25041,-3901,-1253,8955,-18358,2881
2015May,7937,9021,26911,-19119,-8831,1084,8975,30178,31349,711,-25583,34378,39199,-1656
2015Apr,20111,20564,28364,-3090,-11303,453,6141,-27963,-17673,4654,-33543,42919,-7399,-3756
2015Mar,24802,26125,29765,6039,-15153,1323,4151,17270,61381,14059,35805,-68183,43395,332
2015Feb,10321,9833,28186,2693,-24611,-487,4052,-8805,63720,23084,-27848,-62250,1028,4322
2015Jan,20569,21175,16115,6246,-13934,607,12142,-12654,70116,9818,-15132,-57407,8521,1127
2014Dec,39051,41809,24521,20419,-12813,2757,6924,-29122,26254,5010,-43520,23966,12687,978
2014Nov,26093,27764,23210,8208,-10410,1671,5085,7985,6897,4791,21168,1375,35749,1518
2014Oct,34285,35579,26770,9492,-8572,1294,6596,6881,-2972,6063,-32439,71043,42460,765
2014Sep,28797,29379,23264,3154,-8262,582,10642,22292,4448,1958,-22410,67849,51671,-174
2014Aug,14205,15022,9407,4626,-8271,816,8444,14759,-10336,8507,-7677,38129,29781,1158
2014Jul,30388,31328,23844,3960,-9204,940,11788,-24862,2030,5138,-3168,5221,6467,-2756
2014Jun,14353,15137,19314,173,-15014,783,9880,27552,38600,2368,34721,-32173,42688,-829
2014May,3505,3204,18907,-15079,-9306,-302,8983,-7361,174,5342,60574,-70612,-4157,364
2014Apr,17170,17561,19719,684,-10244,391,7011,-13654,-10419,2558,7166,4192,3907,410
2014Mar,21196,21245,20283,9077,-13993,50,5829,28146,40042,-7820,-37333,54041,49392,462
2014Feb,9489,11298,18646,10106,-23301,1809,4038,-2083,-5064,3063,60465,-48604,9214,-645
2014Jan,-323,-254,3711,4420,-13702,69,5247,-2168,-22969,409,68849,-50920,-2422,2209
2013Dec,32048,33630,14680,19428,-12124,1582,10064,18877,28883,-4214,19432,5621,52507,2786
2013Nov,25507,28871,19646,7904,-8099,3363,6056,2011,28682,-2340,51163,-46845,30882,223
2013Oct,23186,25859,20030,5860,-8479,2673,5775,3412,-5887,-2031,39373,-1001,29271,-1182
2013Sep,17781,19082,13303,4752,-11088,1301,10813,4582,-2087,4631,-1764,22083,23663,801
2013Aug,12334,13034,11695,6403,-12044,700,6280,10478,1401,-4192,10150,14335,23512,1818
2013Jul,26494,29308,21675,5803,-10961,2814,9977,-31576,-58110,3940,69980,-17778,-2268,-300
2013Jun,24799,26088,18623,8065,-11123,1288,9235,9333,-26173,-2749,83343,-19355,35420,354
2013May,7597,9390,18234,-7248,-10534,1792,7145,8010,-42848,6483,73924,-22047,17400,1887
2013Apr,15605,16519,19837,-132,-10060,914,5959,9113,56585,-3442,-20778,-6422,25632,-311
2013Mar,27826,28432,26634,10971,-13421,606,3642,19152,-7691,3729,-27023,80606,47584,-2037
2013Feb,4801,5350,13518,9774,-21423,549,2932,13196,13192,2680,8940,-6091,18546,-175
2013Jan,-8097,-8590,627,4975,-16644,-492,2945,-8101,21488,-981,13092,-52649,-16691,2360
2012Dec,29240,29340,14512,17628,-11592,100,8691,-35114,-40405,1481,57495,-23722,-5774,-624
2012Nov,17034,19852,15243,7378,-9261,2818,3674,52877,62611,-5261,70551,-55246,72729,74
2012Oct,11784,15227,13847,2681,-10132,3443,5388,1507,57632,-754,58489,-100035,16735,1403
2012Sep,11277,13242,12390,1797,-10985,1965,8075,63891,27311,5650,4532,40020,77134,-379
2012Aug,7086,8814,8354,4088,-11533,1728,6177,-7276,-22583,-1548,11397,12578,1538,1694
2012Jul,22119,22339,18752,2749,-7443,221,8060,-51888,-46468,7955,33590,-24717,-29549,92
2012Jun,21382,22103,16153,6068,-8534,721,7695,11427,47840,3962,45265,-68168,33530,4631
2012May,-4915,-3546,9972,-11965,-9891,1369,6969,-20120,-48543,11129,18408,-6025,-23665,1365
2012Apr,2717,3365,7458,-1559,-9440,647,6258,-3890,1756,-630,-4870,188,-526,3031
2012Mar,7232,8301,11895,3627,-13067,1069,4777,4302,9910,5122,-43231,40536,12603,267
2012Feb,-9033,-7184,4996,5445,-22976,1849,3502,7490,12437,-2756,8230,-18035,307,430
2012Jan,-15178,-24775,-4669,357,-13323,-9596,2457,3243,-15303,5806,-58612,45774,-21532,803
2011Dec,19696,19914,10643,14333,-12033,218,6752,-8167,-5602,160,-1662,13158,11746,5693
2011Nov,4790,8443,8494,4275,-11542,3653,3563,-19264,-1343,893,-21249,9356,-10821,1521
2011Oct,733,2506,1868,4916,-10660,1774,4609,-8340,8008,8857,-32063,7981,-5834,1382
2011Sep,313,484,4505,402,-11644,171,7049,-8755,18471,5222,3372,-34669,-8272,-667
2011Aug,-4275,-1935,-2197,2321,-8726,2340,4328,-4508,9827,5618,-10609,-10426,-6443,-853
2011Jul,1843,1993,5316,1162,-11242,150,6608,20051,11160,250,-13770,22556,22044,1848
2011Jun,2295,3024,3070,1501,-8463,729,6186,-20232,-7542,-3833,74875,-80105,-17208,-602
2011May,-16032,-15462,2436,-16719,-7960,570,6211,-7782,8944,-2144,15861,-48382,-23244,2476
2011Apr,-4417,-4514,-257,-1288,-6868,-98,3996,21462,15682,-9550,24051,-9569,16948,-3666
2011Mar,-792,-772,4664,4229,-10861,20,1177,15165,29347,2104,59084,-82299,14394,6158
2011Feb,-15618,-13632,1216,4356,-21945,1986,755,23695,16461,-1158,80968,-85579,10063,-628
2011Jan,-23431,-23815,-11288,-709,-12570,-384,1136,-14306,-6500,-2645,-45799,10083,-38122,6739
2010Dec,9575,11886,1971,13502,-10251,2311,4353,-13301,-21793,-11718,14254,17006,-1415,837
2010Nov,171,2118,2311,5642,-9803,1947,2021,-45571,-43564,-597,28118,-26927,-43453,-482
2010Oct,2751,1858,6187,5672,-11566,-892,2458,40137,-18422,-7928,19396,48711,41996,238
2010Sep,-617,-154,5015,232,-11358,463,5493,-2481,41335,-4619,21031,-60934,-2635,552
2010Aug,-4517,-4072,-2294,4681,-11338,445,4434,25151,23898,-152,-14590,11826,21079,97
2010Jul,5622,7436,8354,2795,-10678,1814,5151,3506,9411,2079,-23537,21910,10942,1078
2010Jun,-1258,-760,5800,-3663,-7704,498,4310,10858,-1993,4101,13579,-4813,10098,-777
2010May,-17170,-15671,-1437,-11659,-8741,1499,4666,-22353,-6893,5449,5529,-43671,-38024,1562
2010Apr,-2037,-1689,3282,-1664,-7806,349,4151,6430,32533,6612,-2262,-32116,4741,-25
2010Mar,1207,1733,6428,3234,-10629,526,2175,-1899,32754,5711,-51601,10234,-166,2736
2010Feb,-7423,-6380,5434,7114,-21730,1042,1760,-4016,11942,-2347,-29351,6765,-10396,2594
2010Jan,-17524,-16554,-8047,2772,-13873,970,1624,6423,9996,123,9120,-28658,-10131,-711
2009Dec,13954,15898,7645,10819,-9771,1944,5262,25547,-5412,3000,76076,-32890,41445,672
2009Nov,938,3131,4842,5834,-11193,2193,1455,7955,11404,3120,-185,-2301,11086,-951
2009Oct,218,778,6574,6784,-15187,561,2048,-27914,-4619,4744,-6275,-21450,-27136,465
2009Sep,-2178,-1058,3031,308,-9645,1120,4128,2934,26905,2956,17495,-47784,1876,2304
2009Aug,-1236,-37,320,4143,-9151,1199,3453,-2579,-15960,10379,-22537,-14004,-2616,39506
2009Jul,14564,15518,15148,2685,-8021,953,4752,18479,10453,-554,20929,341,33996,2827
2009Jun,660,1030,7700,-3000,-7730,370,3690,5570,6298,-2980,61932,-59324,6600,673
2009May,-12250,-11689,4815,-12584,-8401,561,3920,30172,16286,-10664,51797,-40198,18483,1262
2009Apr,-7798,-6186,4224,-5449,-9390,1612,2817,-14053,-9988,-9670,1031,35,-20239,-1647
2009Mar,-1450,-797,4159,5452,-12507,653,1446,-2445,23501,-4418,23517,-47527,-3241,1685
2009Feb,-12040,-11182,186,3114,-17627,858,2287,-10310,2266,-1051,46084,-67836,-21493,-957
2009Jan,-22026,-21999,-9480,-918,-12357,27,729,19039,19686,-2492,-66463,50056,-2960,-3747
2008Dec,-207,1231,1285,6834,-13083,1438,4756,-30531,-11911,-2685,-28638,22539,-29300,-8604
2008Nov,-21410,-19642,-5057,-6349,-11469,1768,1465,46809,62800,22857,-38471,-24022,27167,4002
2008Oct,-11067,-10542,3875,-4671,-12717,524,2446,-53930,-1721,14078,17473,-102480,-64472,8177
2008Sep,-10528,-10168,-3402,-3270,-8262,360,4407,76,40932,-4278,8702,-55766,-10092,319
2008Aug,-17643,-17249,-8590,-3879,-8676,393,3502,15059,23677,6193,-6253,-25638,-2191,-169
2008Jul,-9207,-8957,-1337,-4270,-8426,250,4826,-14931,3751,-3046,-12033,-13253,-23888,693
2008Jun,-6084,-6264,1297,-4294,-8134,-180,5047,-10250,11321,10836,4692,-43621,-16514,258
2008May,-26210,-24867,-2595,-21564,-6587,1344,4536,-8482,12460,12887,-64430,8263,-33348,-2528
2008Apr,-13468,-12756,3660,-10393,-8790,713,2056,1390,36109,9151,-70624,9788,-11366,4209
2008Mar,-11286,-11049,1399,-1301,-12434,237,1050,-12041,16582,-2165,-35843,-2991,-23090,1327
2008Feb,-16317,-15014,2284,-3538,-16619,1303,1556,26138,19614,-10446,5824,-1160,11124,-2710
2008Jan,-33536,-31767,-10439,-9378,-14367,1769,648,-14877,3065,-4080,-58865,9602,-46643,3635
2007Dec,-578,,-4715,11786,-12515,-341,4867,-15907,5057,6880,-29572,5313,-16826,-4503
2007Nov,-1168,,2695,2733,-10351,1274,3755,-10081,-7078,12572,-19739,4472,-9975,-202
2007Oct,4344,,4375,5116,-9854,1247,4708,9582,-23230,2777,9437,26197,15173,-8
2007Sep,283,,3179,130,-9924,566,6898,-5300,22837,5043,-15168,-19493,-4451,2329
2007Aug,-817,,1598,2455,-9335,460,4466,-16138,871,6652,-47909,24864,-16495,-974
2007Jul,6519,,5863,3177,-8160,1126,5638,-2466,3463,10909,-21072,8834,5178,3045
2007Jun,9834,,8654,1884,-6587,317,5883,6404,33191,6787,65506,-90464,16554,1534
2007May,-16015,,2034,-15264,-6758,1785,3972,8728,28002,266,-29932,-4567,-5502,729
2007Apr,-1492,,2630,-826,-6919,903,3623,-3505,4842,1997,-36579,24126,-4093,1520
2007Mar,15488,,8523,11332,-7139,710,2772,-4750,11526,4108,69624,-71906,11448,-1904
2007Feb,-6278,,505,9318,-18697,975,2596,2382,-3315,4616,21369,-26108,-2922,517
2007Jan,-6334,,-6033,3835,-5182,1642,1046,-352,12901,4165,-19045,-6069,-5043,3005
2006Dec,10142,,1884,12899,-9135,2204,4493,6720,31958,4261,15903,-34945,19066,1890
2006Nov,4554,,4980,6642,-9980,388,2912,3036,15943,3804,46333,-58718,7978,615
2006Oct,1709,,2573,6709,-10916,335,3343,728,16972,-5604,27897,-36432,2772,-61
2006Sep,588,,3424,1701,-9723,875,5187,5884,37129,-12608,-3066,-15154,7348,1046
2006Aug,-2830,,-4159,6727,-9143,778,3745,3515,3829,1938,-21161,16061,1463,796
2006Jul,674,,1277,2857,-9166,936,5706,-4339,10508,-3814,-13020,2286,-2730,1311
2006Jun,2997,,610,3010,-6928,744,6305,4428,10231,-4296,52941,-49315,8169,-1392
2006May,-16090,,-3523,-11447,-6729,186,5609,-3575,-511,371,17599,-38698,-19479,1760
2006Apr,-5038,,-2070,-466,-6332,394,3830,-913,-4685,8044,-30904,20766,-5557,1223
2006Mar,3897,,774,9540,-7631,-222,1214,-15009,-6910,2985,16003,-17035,-11334,-6376
2006Feb,-6579,,-788,8002,-15449,1116,1656,2612,39925,2493,-25674,-17625,-2851,-1970
2006Jan,-8713,,-8812,5434,-7329,725,1994,-430,4550,2986,-62212,43810,-8418,2448
2005Dec,7503,,-1868,13785,-9672,3696,5258,2419,17965,3595,6609,-7302,13618,-7250
2005Nov,-1558,,-3729,4580,-8162,976,5753,-35097,9201,1578,-80690,35259,-35679,-1027
2005Oct,2447,,-2188,5629,-7974,40,6980,32638,16127,3825,25583,-10352,35124,-59
2005Sep,2280,,2775,2227,-8780,864,6058,-5974,7918,1126,-14975,2759,-2831,342
2005Aug,-4382,,-873,617,-7807,-71,3680,11536,10390,533,-37025,33220,7083,-34
2005Jul,6514,,7003,1139,-6805,258,5177,981,89138,-2309,-6232,-70156,7753,-2688
2005Jun,5448,,6704,735,-7773,2107,5782,-2890,10496,-999,95149,-98614,4665,-1366
2005May,-6369,,4373,-8174,-6532,1924,3964,1895,-4390,1414,-7215,10191,-2550,-2550
2005Apr,-3082,,2683,-2648,-5468,590,2351,-1848,19206,233,-15136,-9480,-4339,838
2005Mar,6752,,8131,6758,-8524,867,387,7209,8434,3900,-1481,5014,14827,-1039
2005Feb,2668,,6230,6816,-10483,778,104,836,3941,26,17254,-12159,4281,-4781
2005Jan,-9259,,1020,17,-12141,-1725,1845,-5477,15088,4487,-53484,15833,-16461,1616
2004Dec,14778,,5043,11508,-5286,3357,3513,394,-6686,1852,44698,-19878,18528,-1458
2004Nov,467,,1139,1584,-4978,780,2722,2401,8295,-551,-35400,31315,3648,-11
2004Oct,8390,,4671,4218,-6713,577,6214,561,14135,5507,-1350,-8504,9527,-261
2004Sep,1735,,2496,-821,-6905,1256,6965,5403,527,-2956,49488,-38633,8395,-31
2004Aug,745,,2667,1174,-7358,1840,4262,-2651,-6755,3545,-1963,8802,-67,-3695
2004Jul,11550,,12427,1936,-7603,1740,4790,-2632,9562,-2557,-29019,32832,10658,-159
2004Jun,4647,,9535,-2689,-7942,1359,5744,-3154,6709,-330,15092,-19267,2853,649
2004May,-4761,,8936,-10835,-7092,2676,4230,1234,2815,4324,-15356,8094,-851,-729
2004Apr,5733,,8192,436,-4859,207,1964,1467,7432,3807,5995,-12362,7407,2535
2004Mar,12816,,12331,4912,-6269,176,1843,-5144,30855,-3341,-15723,-253,7849,-3690
2004Feb,4367,,8098,5661,-10879,1841,1487,-163,2201,-457,19804,-6784,6045,-8719
2004Jan,-2840,,2452,629,-7549,1044,1629,-1449,9721,-356,3911,-19633,-3245,3112
2003Dec,9253,,4088,4524,-5824,8506,6465,-2387,5370,6388,-15424,26376,15373,-7337
2003Nov,2568,,3417,1650,-7563,3877,5064,-17324,-4535,-859,3091,-3102,-10879,-5474
2003Oct,6929,,7950,-2036,-5618,2835,6633,-19242,4618,-1559,29377,-41249,-9477,-664
2003Sep,2975,,6922,-2171,-7528,641,5752,-4069,9344,-830,6384,-15256,-453,-94
2003Aug,2358,,7106,-495,-7617,1616,3364,-9582,7436,2275,-47783,32772,-5609,-309
2003Jul,6770,,11781,-1828,-7774,445,4591,-10808,1628,2238,-35009,29441,-3593,-1891
2003Jun,1452,,6792,-3574,-7901,2539,6135,9659,-12679,785,60626,-34583,13650,-499
2003May,-8187,,4227,-10324,-6724,461,4635,33515,-4743,-1462,32651,-475,25789,-182
2003Apr,-3665,,4663,-5094,-6934,30,3700,-14727,12552,3399,-6525,-27116,-18361,-670
2003Mar,5874,,4783,3853,-5506,969,2744,-16659,8728,657,10861,-25486,-9817,-4578
2003Feb,-495,,6526,1937,-9668,526,710,8533,-18848,529,23823,8016,8564,-4955
2003Jan,-6683,,52,-1839,-6426,1883,1529,1217,742,2188,-1680,-3664,-3583,-1171
2002Dec,8767,,5570,4982,-6542,-870,4756,-27006,-35382,2626,8844,3731,-19109,1073
2002Nov,5299,,7964,-696,-6683,-771,4715,14726,2144,707,35171,-21205,19255,2438
2002Oct,2173,,8426,-1338,-8671,988,3755,13244,17,-523,39959,-20932,16405,-2116
2002Sep,4969,,8984,-3816,-7013,845,6813,-9226,12380,-604,14560,-33453,-3411,3705
