Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2020Apr,133238711.48,87.70,135361760.11,73.90,24855124.95,89.20,36333199.36,89.27,73049469.68,89.87,99661148.25,84.72,7891765.30,82.87,6025520.29,7726443.82,27520382.78,5815844.73,50293650.74,10362023.29,135503423.48,88.73,3662822.43,26030236.38,4486108.97,2610340.54,15009545.79,7357084.01,26537395.48,68.25,37599265.93,67.34,69327597.42,82.24,109580688.77,70.30,5311695.38,8954215.66,13662228.29,6771335.38,35921472.07,12617581.05,135453087.24,74.05,3631675.65,28248967.08,4216879.91,3195379.17,20255878.24,9769621.34
2020Mar,165197117.13,103.20,194182000.76,104.50,26887628.23,94.87,41385488.36,100.76,86708919.78,98.47,114078591.23,95.84,14187546.36,92.47,6809245.46,9207706.04,21378042.56,8711312.56,49897130.58,12098811.05,156568835.91,97.55,4321634.68,34857800.80,7201818.66,4317365.00,17745065.58,6258215.20,35523315.63,91.87,54624139.22,95.06,88555621.27,104.17,149548067.00,95.24,7670529.60,11045373.32,13245037.84,10094850.37,40423046.75,21105627.40,182970081.52,98.75,4056205.25,39073669.95,5567941.41,4659480.24,28557229.02,15634637.50
2020Feb,165626707.90,102.70,188863700.83,101.50,27267524.26,101.16,46258065.63,113.55,96672547.04,106.16,127183268.12,109.50,19978704.82,101.06,6391777.11,9583519.68,22418141.15,10059605.54,53689073.71,13972988.46,173069184.64,107.03,4397258.70,38812667.95,8847585.27,4590364.48,18109824.17,8601107.46,41374978.54,108.08,61256130.55,107.36,92990900.66,107.97,166588817.64,106.67,8232815.74,11861472.25,14114281.55,11424106.52,46185231.35,21868215.38,198631971.85,107.01,4507699.12,42217461.68,6084571.48,5192702.68,29365139.27,16134461.84
2020Jan,182672526.25,110.60,184167159.82,98.50,28972031.98,106.26,46336913.17,111.99,99724238.75,106.02,129383562.56,109.68,22232088.64,101.91,6641684.35,9303805.10,24641770.74,10777107.58,56562643.54,14295400.18,177990351.69,107.39,4708023.71,39161400.92,8678369.19,4634732.96,18277188.54,9601913.73,39144597.08,101.23,60397577.12,105.86,93344702.90,107.59,164776327.84,105.03,8435558.24,12060301.24,14421545.60,11394002.65,45612796.68,21829582.25,196944250.56,105.52,4451289.15,41545975.26,6018839.93,5342608.60,29595193.98,15015527.21
2019Dec,163725189.92,99.40,186358081.10,100.10,28296432.44,101.99,45895838.94,111.94,96463162.11,103.50,127009885.57,108.06,21578106.32,99.64,7079818.82,9232338.40,24100199.08,11168786.12,54661622.67,14254130.80,174185376.36,105.57,4393298.71,37788062.76,8860982.78,4613438.84,17952572.54,8511313.45,41546694.18,107.15,59549037.84,104.56,92036695.48,107.36,164653980.12,105.63,8661522.32,11555380.09,15489349.77,11388499.47,47671340.57,21613809.57,197344641.65,106.31,4114253.58,40982572.37,5798834.93,5288168.06,28125257.12,16450182.41
2019Nov,178430389.79,109.50,198583074.99,107.90,28926835.83,105.72,46936908.97,115.01,96948216.88,105.38,129128497.62,110.67,20439560.58,98.13,6482476.90,8923931.57,24845976.74,10984616.07,56309828.85,13491739.35,175535148.64,107.56,4581715.07,38336292.45,8799021.95,4670950.20,17790776.53,9335517.04,40681111.34,106.27,59659077.01,105.79,90666294.81,106.95,164197224.25,106.50,8588069.38,11518667.74,15013387.79,11671975.66,47101729.65,21140909.19,194930850.42,106.18,4465321.11,41329092.41,5964317.04,5066089.41,28409435.67,13743588.11
2019Oct,191781210.05,118.30,218956229.90,119.10,29939533.97,111.67,46619952.85,114.02,96800223.80,105.51,130205010.69,112.10,19383294.41,93.94,6702895.66,8777993.72,25727496.32,10923790.92,56747932.97,14616338.67,176442527.51,108.61,4622360.87,37875512.56,8730444.51,4652228.74,18731592.30,8587381.14,43443037.75,112.86,60699356.22,108.51,93206083.80,109.74,168347909.22,109.29,8629050.43,12145948.35,15409455.08,11459719.90,46385155.09,24670014.81,200495989.41,109.31,4567180.08,40603887.75,6396250.87,4844918.23,29816165.06,15357355.75
2019Sep,178214074.97,110.00,196550016.93,107.00,29229941.73,109.81,46928850.53,115.09,98337139.62,106.89,129949118.60,111.68,19838131.26,95.98,6821909.86,9322678.86,25112237.74,11094391.21,56021469.18,14087892.81,177282062.53,109.23,4734473.55,38431132.36,8478698.94,4751143.07,18447731.40,9640378.43,39282912.58,103.09,59931302.53,107.04,92945235.58,109.33,163438085.35,106.30,8611434.22,11438616.47,14610292.12,10991866.23,45931700.96,23586498.44,196658035.28,107.32,4724036.57,41050845.12,5746323.68,4625512.95,29123000.00,15725875.19
2019Aug,163886870.80,102.10,178011154.75,97.00,29131828.59,110.63,45175277.78,111.41,99084519.17,108.71,128751688.15,111.46,20102283.93,99.12,6884541.26,8798351.25,25080702.04,10596507.05,56252071.10,14177982.32,176509531.95,109.77,4776690.11,38123823.93,9001344.90,4779886.30,17671489.23,10025504.78,39513374.59,103.32,59425329.36,106.33,93337827.21,109.80,164056122.97,106.60,8618461.21,11663448.79,14568488.49,10809044.91,46024912.49,23014448.37,195336518.05,106.69,4720090.35,40422148.25,6189231.32,4894802.99,30408160.98,13053340.64
2019Jul,184076816.07,114.20,206680859.06,112.90,29205985.11,111.83,45031765.33,112.62,101652467.81,110.08,129793725.18,113.41,20247989.01,94.96,6705726.09,8593742.11,25587729.45,10476599.94,57866340.19,13714536.33,178240557.55,110.54,4734380.78,37773292.15,9336458.88,4800431.72,18161719.11,10930303.50,38947260.36,102.98,58110144.58,104.55,93334269.48,109.69,161544496.69,105.46,8592101.48,11268115.21,14237422.81,10600468.76,44900015.87,22006564.21,194415931.72,106.49,4507807.67,40592286.31,5672558.49,4619594.13,30032434.89,16179849.96
2019Jun,170252645.65,105.40,189364699.19,103.70,28442559.09,109.50,45635273.46,114.45,100599383.66,107.94,128815737.57,112.66,21432251.07,98.64,7239041.70,8892066.73,24792512.07,10687102.96,57526264.63,13964505.68,177979365.53,109.96,4555143.28,38220075.50,8984305.59,4596470.17,18027173.47,9655102.23,39973026.88,105.69,58146805.29,104.14,92427965.97,109.44,162796848.34,106.57,8586873.42,11094474.12,14513613.42,10831498.71,46939291.52,21745874.03,194407948.19,106.68,4731164.17,40721501.30,5643396.67,4762030.02,29548325.98,14480127.46
2019May,182490696.80,112.20,203412918.67,110.90,29503980.70,113.38,44421949.85,112.68,103255613.55,109.28,126323115.35,111.00,22808721.62,98.28,7138674.70,8801697.12,24236107.63,11276242.96,56662016.16,13638433.03,179267873.03,110.25,4843479.01,38289539.53,9485230.19,4572420.88,17268209.59,12437102.42,41190875.39,109.21,59215322.72,106.05,92275435.11,108.24,163408958.12,106.87,8848842.20,11485696.66,15023302.54,11061432.80,47965994.11,21508777.77,195641453.26,106.96,4774276.77,40619428.82,5977479.07,4554140.74,28806560.67,14680812.94
2019Apr,178602046.65,109.70,193284072.48,105.50,29130049.87,109.63,45679228.27,115.43,102865229.93,109.26,127715245.22,111.70,21956107.88,96.73,6987269.94,8614455.91,25649866.21,11446043.72,58858173.67,13348647.45,179586881.67,110.14,4876260.94,38373994.73,9887462.60,4713663.61,17152775.06,10267834.15,39874996.92,104.45,58828873.45,106.72,92281727.73,108.25,160224603.39,104.79,8477382.61,11242865.95,15153183.74,10942096.50,46580851.23,20697721.99,194292087.93,106.42,4448144.10,40219299.23,5687069.77,4299155.81,29138220.08,16906658.44
2019Mar,183757150.57,113.10,206383671.11,113.40,29241567.29,109.36,45464909.51,114.67,103547693.90,110.59,129002651.84,112.30,22287529.82,103.93,6688300.67,8522355.37,25201729.44,10742860.34,58717979.00,16599903.26,179794259.87,110.47,4635884.44,38912379.01,10033043.03,4785397.31,17418979.72,7583945.04,40741825.73,107.82,59851499.91,108.57,94905300.70,112.06,164888040.56,108.24,8321213.81,11307811.64,15052944.48,11234667.25,46646824.09,27143965.16,198813557.49,109.40,4618304.23,41516529.21,5677562.20,4837988.70,27769646.86,14734632.19
2019Feb,168422760.38,104.70,186297530.96,102.60,28508515.75,108.07,44287961.86,112.45,100304767.10,108.22,127202835.18,111.56,21079985.23,102.95,7298471.62,8023275.94,24517260.86,10117020.27,56867899.36,14742079.05,175517322.69,108.95,4718072.97,38068221.63,9346891.44,4683638.53,18152030.77,8144148.22,40492021.96,107.66,57091304.35,104.24,93271187.19,110.23,163882241.52,107.68,8553205.27,11723903.03,14713652.76,10710809.67,44975418.47,25322772.01,193593155.01,106.93,4235218.25,40053329.28,5640233.71,4550767.55,27780245.99,14089675.85
2019Jan,183051893.98,114.30,183826498.42,101.20,29687857.70,112.84,43968867.38,110.69,101658948.13,110.70,127502449.35,111.31,20819932.31,108.01,6957559.50,8530565.00,23903373.52,10033668.76,56168977.18,14513892.32,177246511.80,110.33,4585682.95,38311934.52,10462877.52,4591660.27,17391396.82,10360911.13,41119160.79,109.74,57073989.23,104.59,93738999.68,110.58,164727873.20,108.14,8534113.78,11183777.46,15508731.15,10909069.86,46022153.31,24275767.18,194881243.13,107.64,4524807.40,40363277.00,5701411.38,4214496.11,28838871.46,14770873.88
2018Dec,161552804.89,100.20,177461008.32,98.00,29244872.30,109.76,43508581.60,110.57,101495452.27,109.60,128082966.87,111.81,20865013.09,106.01,7257105.89,8267236.00,24108440.55,10912410.74,55547995.65,14154561.44,178055429.98,110.42,4534275.48,38220974.47,10259713.39,4584445.70,18112600.86,10877563.64,41379300.09,109.71,56462975.09,104.05,91834662.07,109.05,162151529.31,107.04,8266553.42,10744151.12,14159059.11,11408061.61,44940162.25,23659510.71,193339596.65,107.29,4476421.44,40502740.70,5662315.54,4047292.36,27796968.57,16433920.63
2018Nov,185817147.21,113.50,203678414.36,112.70,29742720.43,111.73,43969102.46,111.32,101650108.43,106.71,127381794.23,111.20,21035030.00,92.39,6928495.94,8680039.94,24422447.96,10724120.48,56410127.31,14063975.47,177528129.73,108.28,4478005.03,37724927.65,10522440.91,4611644.71,17554087.72,10203324.52,41157211.46,110.47,56042416.40,103.57,92416893.02,109.43,162304570.44,108.06,8436471.00,10532081.01,14834555.69,11728128.92,46636007.42,23267279.35,193228113.05,107.43,4268213.49,40157338.25,5522059.15,3968774.80,27568418.02,15268549.97
2018Oct,196514239.90,119.40,209355214.15,116.40,29134743.02,111.96,43990010.38,112.01,106142050.90,109.74,127869906.54,113.10,24323376.28,96.38,7011105.97,8683383.50,25243310.31,12187047.78,58526740.65,14408696.10,181941376.51,110.47,4466373.36,38143343.20,10654489.85,4891758.92,17195556.08,10196293.09,39901516.23,107.61,55713060.41,103.64,93905895.57,111.40,160442293.36,107.63,8557205.06,10540356.68,14953456.84,11272150.06,46041055.64,23283935.09,192712444.26,107.55,4314248.71,40613716.63,5242795.17,3988612.50,28258694.72,15045282.33
