Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=082bf965301e3ce1125ba4ca625a7052&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=SEC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn46&legendRef=reference
,SEC.M.I8.1000.F51100.M.1.Z01.E.Z,SEC.M.I8.1000.F51100.M.2.Z01.E.Z,SEC.M.I8.1000.F51100.M.3.Z01.E.Z,SEC.M.I8.1000.F51100.M.4.Z01.E.Z,SEC.M.I8.1000.F51100.M.I.Z01.A.Z,SEC.M.I8.1000.F51100.M.I.Z01.E.Z,SEC.M.I8.1100.F51100.M.1.Z01.E.Z,SEC.M.I8.1100.F51100.M.2.Z01.E.Z,SEC.M.I8.1100.F51100.M.3.Z01.E.Z,SEC.M.I8.1100.F51100.M.4.Z01.E.Z,SEC.M.I8.1100.F51100.M.I.Z01.A.Z,SEC.M.I8.1220.F51100.M.1.Z01.E.Z,SEC.M.I8.1220.F51100.M.2.Z01.E.Z,SEC.M.I8.1220.F51100.M.3.Z01.E.Z,SEC.M.I8.1220.F51100.M.4.Z01.E.Z,SEC.M.I8.1220.F51100.M.I.Z01.A.Z,SEC.M.I8.1235.F51100.M.1.Z01.E.Z,SEC.M.I8.1235.F51100.M.2.Z01.E.Z,SEC.M.I8.1235.F51100.M.3.Z01.E.Z,SEC.M.I8.1235.F51100.M.4.Z01.E.Z,SEC.M.I8.1235.F51100.M.I.Z01.A.Z
2015Oct,6907590.585,7317.882,1417.754,5900.129,1.005,110.241,5342622.762,3129.203,1261.511,1867.692,0.684,610407.886,15.000,5.000,10.000,2.982,954559.937,4173.680,151.243,4022.437,1.389
2015Sep,6360665.496,977.784,356.184,621.600,0.927,110.139,4902039.882,975.274,215.774,759.500,0.678,580654.487,0.060,0.000,0.060,3.040,877971.127,2.450,140.410,-137.960,0.822
2015Aug,6669955.045,2301.120,1895.494,405.626,0.995,110.129,5112177.977,1082.009,825.233,256.776,0.778,628755.569,0.004,0.000,0.004,3.043,929021.498,1219.107,1070.261,148.846,0.762
2015Jul,7219939.990,7845.794,3271.353,4574.441,0.994,110.123,5523738.452,7462.678,3096.353,4366.325,0.803,693013.857,114.670,91.004,23.666,3.043,1003187.682,268.446,83.996,184.450,0.621
2015Jun,6954613.913,13137.027,572.041,12564.986,1.001,110.050,5315741.460,6779.357,248.879,6530.478,0.654,662473.757,5187.940,3.000,5184.940,3.768,976398.696,1169.730,320.162,849.568,0.969
2015May,7129776.520,5133.076,3443.956,1689.120,1.283,109.857,5464250.025,2687.261,3368.646,-681.385,0.653,674110.606,174.820,0.000,174.820,5.538,991415.889,2270.995,75.310,2195.685,1.653
2015Apr,7120309.769,8899.930,454.049,8445.881,1.447,109.831,5440797.994,5242.097,429.349,4812.748,0.762,682220.964,2986.000,8.000,2978.000,6.510,997290.811,671.833,16.700,655.133,1.514
2015Mar,7183659.683,6484.584,390.515,6094.069,1.514,109.702,5487524.954,4901.641,368.695,4532.946,0.790,689023.468,0.004,0.000,0.004,6.787,1007111.260,1582.939,21.820,1561.119,1.609
2015Feb,6976910.160,6124.923,1857.696,4267.227,1.434,109.606,5374533.556,3201.653,1444.605,1757.048,0.720,650810.450,3.000,0.000,3.000,6.788,951566.154,2920.270,413.091,2507.179,1.421
2015Jan,6518556.088,9290.541,562.762,8727.778,1.500,109.534,5061063.089,1735.071,199.899,1535.172,0.706,573272.211,7507.000,0.000,7507.000,6.909,884220.788,48.470,362.863,-314.393,1.892
2014Dec,6016313.549,6034.512,2258.308,3776.205,1.542,109.376,4588407.042,4647.994,1910.436,2737.558,0.713,591298.596,700.640,22.000,678.640,7.215,836607.911,685.879,325.872,360.007,1.933
2014Nov,6115027.920,10502.659,1747.099,8755.560,1.555,109.308,4634238.136,7215.131,1204.052,6011.079,0.726,628675.984,2084.890,0.000,2084.890,7.129,852113.800,1202.637,543.047,659.591,2.020
2014Oct,5827804.542,3454.107,2531.114,922.993,1.499,109.144,4407636.449,3051.281,1632.097,1419.184,0.698,611765.755,382.000,3.000,379.000,6.921,808402.338,20.826,896.018,-875.191,1.909
2014Sep,6003539.974,6230.408,1661.905,4568.502,1.472,109.127,4511413.751,6187.327,1006.853,5180.474,0.623,650945.500,15.000,0.000,15.000,6.875,841180.723,28.081,655.052,-626.971,2.168
2014Aug,5994245.255,2176.600,1864.859,311.741,1.382,109.044,4518733.569,2052.139,715.723,1336.415,0.510,637533.471,0.000,0.000,0.000,6.896,837978.215,124.461,1149.136,-1024.675,2.128
2014Jul,5941105.175,11181.738,6782.830,4398.908,1.363,109.038,4492141.188,3521.720,6568.160,-3046.440,0.469,627052.068,4455.330,3.000,4452.330,6.907,821911.920,3204.688,211.670,2993.018,2.208
2014Jun,6080909.268,29566.961,1905.067,27661.894,1.337,108.960,4630771.077,6866.807,1441.947,5424.860,0.611,629548.783,15995.190,0.000,15995.190,6.502,820589.408,6704.964,463.121,6241.843,1.556
2014May,6068352.311,13775.928,2692.502,11083.426,1.595,108.465,4608278.707,6477.195,2119.558,4357.638,0.658,642818.977,6049.730,0.000,6049.730,10.746,817254.627,1249.003,572.945,676.058,0.810
2014Apr,5970919.891,13929.800,3037.981,10891.819,1.648,108.264,4513621.963,8045.418,2887.376,5158.042,0.717,639342.790,4459.790,0.000,4459.790,11.173,817955.137,1424.593,150.606,1273.987,0.760
2014Mar,5937682.611,2889.099,2370.471,518.628,1.403,108.066,4492543.310,2241.783,1558.133,683.650,0.624,642863.408,4.850,0.000,4.850,9.012,802275.894,642.467,812.338,-169.871,0.785
2014Feb,5886851.839,8693.363,1372.020,7321.343,1.196,108.057,4449400.057,1574.376,683.987,890.388,0.380,638045.626,682.076,0.000,682.076,8.974,799406.157,6436.911,688.032,5748.879,0.687
2014Jan,5605443.139,11709.183,1090.629,10618.554,0.867,107.916,4240835.885,2126.371,403.295,1723.076,0.104,597937.283,9133.295,255.000,8878.295,8.916,766669.970,449.517,432.334,17.183,-0.096
2013Dec,5694010.331,6378.520,2154.504,4224.015,0.772,107.715,4343205.607,5023.687,1922.976,3100.711,0.179,569248.238,200.000,44.788,155.212,7.249,781556.486,1154.833,186.740,968.093,-0.079
2013Nov,5621617.648,7310.748,2092.796,5217.952,0.734,107.634,4304143.025,6328.430,1722.902,4605.528,0.119,562814.122,816.000,1.000,815.000,7.082,754660.501,166.318,368.894,-202.576,0.237
2013Oct,5530301.346,2625.188,3227.998,-602.810,0.593,107.532,4229192.436,1242.807,2982.273,-1739.466,-0.112,557242.559,71.500,0.000,71.500,7.621,743866.351,1310.881,245.725,1065.156,0.249
2013Sep,5261266.212,957.531,1571.333,-613.802,0.709,107.545,4054783.090,660.435,596.598,63.837,0.014,495545.725,102.860,0.000,102.860,7.754,710937.397,194.236,974.735,-780.499,0.363
2013Aug,5006913.982,1642.450,2336.407,-693.957,0.777,107.558,3863597.560,1069.480,1498.096,-428.616,0.048,463842.645,47.700,0.000,47.700,7.748,679473.778,525.270,838.311,-313.041,0.751
2013Jul,5026157.276,5348.326,3081.500,2266.827,0.836,107.573,3888958.777,3400.516,603.255,2797.261,0.057,449738.602,1394.568,39.000,1355.568,7.871,687459.897,553.243,2439.244,-1886.002,1.235
2013Jun,4812175.061,37539.025,1849.846,35689.179,0.901,107.522,3712864.402,7514.311,1143.829,6370.482,0.078,415812.470,29151.920,2.000,29149.920,7.574,683498.189,872.794,704.016,168.778,1.841
2013May,5015975.785,13334.988,1733.938,11601.051,0.281,106.762,3865435.504,6991.510,1120.738,5870.773,-0.053,443527.071,5511.320,3.000,5508.320,1.855,707013.211,832.158,610.200,221.958,1.796
2013Apr,4884790.538,3180.119,5938.651,-2758.532,0.113,106.510,3788740.402,1087.952,221.991,865.961,-0.185,412621.318,412.880,5247.000,-4834.120,0.859,683428.818,1679.287,469.660,1209.627,2.047
2013Mar,4787642.245,690.869,10049.493,-9358.623,0.237,106.571,3747232.994,646.059,9093.438,-8447.380,-0.160,382536.525,0.310,143.065,-142.755,2.150,657872.726,44.501,812.989,-768.489,2.163
2013Feb,4780968.380,1758.695,11080.733,-9322.038,0.510,106.780,3714672.312,1310.970,10685.537,-9374.566,0.107,418685.739,271.065,0.001,271.064,2.706,647610.329,176.660,395.196,-218.536,2.259
2013Jan,4795704.645,4589.140,330.582,4258.558,0.698,106.988,3690766.212,4335.041,215.605,4119.435,0.359,445316.538,22.000,0.000,22.000,2.647,659621.895,232.099,114.977,117.122,2.222
2012Dec,4628051.256,3034.363,1359.445,1674.919,0.808,106.890,3588449.069,1169.982,723.077,446.905,0.261,404669.194,18.000,528.000,-510.000,4.904,634932.993,1846.381,108.367,1738.014,2.173
2012Nov,4476504.478,3896.012,5897.846,-2001.834,0.883,106.850,3688379.710,1337.239,5782.296,-4445.057,0.301,397517.075,2503.000,1.000,2502.000,5.514,390607.693,55.773,114.550,-58.777,2.097
2012Oct,4398325.362,6311.291,1821.372,4489.919,0.957,106.898,3619979.652,4652.775,1672.473,2980.302,0.396,384858.885,505.000,0.000,505.000,5.024,393486.826,1153.516,148.899,1004.617,2.544
2012Sep,4316213.257,2874.820,534.530,2340.290,0.906,106.787,3570047.757,1662.725,388.588,1274.137,0.375,365862.016,59.000,0.000,59.000,4.885,380303.484,1153.095,145.942,1007.153,2.296
2012Aug,4273876.590,3662.126,1825.424,1836.702,0.851,106.729,3550255.958,1624.313,1699.523,-75.210,0.296,352162.251,389.000,0.000,389.000,4.628,371458.381,1648.813,125.901,1522.912,2.727
2012Jul,4141162.232,4813.976,330.203,4483.773,0.942,106.681,3479559.588,3555.929,313.103,3242.826,0.310,311092.229,157.000,0.000,157.000,5.754,350510.414,1101.046,17.100,1083.946,2.319
2012Jun,4007545.411,4789.092,1208.595,3580.497,1.079,106.562,3352866.080,2222.891,1138.797,1084.094,0.238,316845.224,2564.048,3.710,2560.338,7.697,337834.107,2.153,66.088,-63.935,2.395
2012May,3844879.434,4684.603,1801.605,2882.998,1.454,106.463,3245043.881,2519.647,1739.220,780.427,0.350,282421.897,1130.890,0.000,1130.890,10.033,317413.656,1034.066,62.385,971.681,2.908
2012Apr,4154268.400,3193.412,346.335,2847.077,1.399,106.389,3477942.627,2079.134,331.747,1747.387,0.202,328399.341,1.000,0.000,1.000,10.677,347926.433,1113.278,14.587,1098.690,2.889
2012Mar,4332937.425,4022.379,693.521,3328.858,1.516,106.319,3589280.752,2004.248,601.651,1402.597,0.305,374637.770,2016.000,0.000,2016.000,11.280,369018.903,2.131,91.870,-89.739,2.617
2012Feb,4339623.983,1069.492,1405.841,-336.349,1.511,106.238,3578766.459,1047.306,1153.196,-105.890,0.332,395824.612,17.880,3.000,14.880,10.737,365032.912,4.306,249.645,-245.339,2.838
2012Jan,4155906.147,8354.496,420.129,7934.367,1.667,106.246,3442421.229,868.166,315.456,552.710,0.358,363003.142,7481.330,4.000,7477.330,11.355,350481.775,5.000,100.673,-95.673,3.706
2011Dec,3939858.436,5525.830,1134.656,4391.174,1.570,106.033,3278095.714,2810.391,1104.647,1705.744,0.360,339258.340,1493.363,2.000,1491.363,9.346,322504.383,1222.076,28.009,1194.067,4.437
2011Nov,3926879.195,2635.099,1505.959,1129.140,1.462,105.914,3275011.115,548.329,1503.959,-955.630,0.294,329747.658,661.100,2.000,659.100,8.896,322120.422,1425.670,0.000,1425.670,4.210
